,keyword,addition
iphone -> 5s,44,44
iphone -> 6,31,31
iphone 6s -> plus,29,29
redmi note 3 -> mobile,29,29
moto g3 -> mobile,27,27
samsung -> j3,24,24
led -> tv,24,24
pendrive -> 16gb,22,22
iphone -> 4s,21,21
moto -> g,19,19
lenovo k4 note -> mobile,17,17
iphone -> 6s,16,16
iphone -> se,16,16
iphone 6s -> 16gb,16,16
moto -> e,15,15
redmi note -> 3,15,15
jeans -> man,15,15
watches -> combo,14,14
micromax -> canvas,14,14
puma -> shoes,14,14
lenovo a6000 -> plus,14,14
coolpad note 3 lite -> mobile,13,13
mobile -> phones,13,13
infocus -> m2,13,13
sex -> toys,13,13
iphone 6 -> plus,13,13
redmi -> note,12,12
letv -> mobile,12,12
lenovo k4 -> note,12,12
saree -> combos,11,11
oppo f1 -> plus,11,11
micromax spark 3 -> mobile,11,11
samsung -> j2,11,11
shirts -> combo,11,11
redmi -> 2,11,11
lenovo -> a6000,11,11
samsung -> mobiles,11,11
pears -> soap,11,11
samsung s7 -> mobile,10,10
lenovo vibe -> p1m,10,10
laptop -> bag,10,10
pendrive -> 8gb,10,10
watches -> men,10,10
coolpad note 3 -> lite,10,10
infocus -> bingo,10,10
coolpad note 3 -> mobile,10,10
iphone 6s -> 64gb,10,10
oppo -> f1,10,10
iphone 5s -> cover,9,9
lenovo vibe p1m -> mobile,9,9
power bank -> mi,9,9
infocus -> m680,9,9
lehenga -> choli,9,9
iphone 6 -> 16gb,9,9
infocus -> m350,9,9
led -> bulb,9,9
kurti -> combo,9,9
motorola -> mobiles,9,9
samsung -> mobile,9,9
watches -> fastrack,9,9
moto x -> play,9,9
dabur -> honey,9,9
sunglasses -> combo,9,9
lenovo -> vibe,9,9
macbook -> pro,9,9
headphone -> wireless,8,8
moto -> x,8,8
otg -> cable,8,8
redmi 2 -> prime,8,8
micromax spark -> 3,8,8
mobiles -> accessories,8,8
nexus -> 5x,8,8
iphone 5s -> 16gb,8,8
lenova -> mobile,8,8
lenovo -> k3,8,8
pendrive -> 32gb,8,8
micromax -> mobiles,8,8
lenovo k5 -> mobile,8,8
antivirus -> 2016,7,7
xiaomi redmi note -> 3,7,7
nokia -> lumia,7,7
moto g -> 3rd,7,7
coolpad -> note,7,7
lumia -> 535,7,7
nokia 1100 -> mobile,7,7
micromax canvas spark 3 -> mobile,7,7
samsung galaxy -> j3,7,7
bose -> speaker,7,7
infocus -> mobile,7,7
lenovo -> mobiles,7,7
lenovo vibe k4 note -> mobile,7,7
lenovo -> k4,7,7
i phone -> 6,7,7
lcd -> tv,7,7
iphone -> 5,7,7
iphone 6 -> 64gb,7,7
lenovo -> laptop,7,7
kurta -> ladies,7,7
shoes -> casual,7,7
moto g 3rd generation -> mobile,7,7
moto g -> turbo,7,7
inverter -> battery,7,7
mi note -> 3,7,7
memory card -> 16gb,7,7
redmi -> mobile,7,7
sofa -> set,7,7
memory card -> 4gb,6,6
led bulb -> 15w,6,6
iphone 6s -> gold,6,6
iphone 5s -> 32gb,6,6
asus -> zenfone,6,6
projector -> screens,6,6
tablet -> phone,6,6
memory card -> 32gb,6,6
watches -> discount,6,6
samsung -> guru,6,6
condom -> combo,6,6
spark -> 2,6,6
adidas -> shoes,6,6
shorts -> men,6,6
lenovo k5 -> plus,6,6
xbox -> 360,6,6
samsung j3 -> mobile,6,6
mouse -> pad,6,6
laptop -> skin,6,6
lenovo vibe k5 plus -> mobile,6,6
i phone -> 6s,6,6
infocus -> mobiles,6,6
canvas -> shoes,6,6
samsung s7 -> edge,6,6
redmi note -> mobile,6,6
f&d -> speakers,6,6
moto g -> mobile,6,6
cricket -> bat,6,6
nokia -> 220,6,6
sarees -> chiffon,6,6
voltas -> ac,6,6
nike -> shoes,6,6
lloyd -> ac,6,6
intex -> mobile,6,6
sparx -> shoes,6,6
gta 5 -> pc,6,6
nokia -> 130,6,6
lotus -> herbals,6,6
oppo f1 plus -> mobile,6,6
lotus -> cream,6,6
micromax -> led,5,5
xbox 360 -> games,5,5
infocus -> m260,5,5
honor -> 5x,5,5
oppo -> mobile,5,5
infocus -> m370,5,5
asus -> phone,5,5
infocus bingo -> 50,5,5
meizu -> m2,5,5
intex -> aqua,5,5
mi5 -> mobile,5,5
micromax -> spark,5,5
saree -> combo,5,5
one piece -> dress,5,5
s7 -> samsung,5,5
galaxy j3 -> mobile,5,5
trimmer -> nova,5,5
lenovo vibe k5 plus -> mobiles,5,5
laptop -> acer,5,5
lenovo vibe -> x3,5,5
mouse -> usb,5,5
chromecast -> 2,5,5
formal shoes -> black,5,5
iphone -> 4,5,5
moto x play -> mobile,5,5
lava -> iris,5,5
samsung -> a7,5,5
samsung -> j5,5,5
samsung -> s7,5,5
tablet -> mobile,5,5
lenovo -> a1000,5,5
lakme -> cc,5,5
redmi note prime -> mobile,5,5
redmi note 4g -> mobile,5,5
camera -> dslr,5,5
power bank -> 10400mah,5,5
power bank -> 12000mah,5,5
iphone 5s -> case,5,5
macbook -> air,5,5
coolpad note -> 3,5,5
jockey -> women,5,5
vr -> box,5,5
k7 -> antivirus,5,5
mi -> mobile,5,5
keyboard -> mouse,5,5
sports shoes -> adidas,5,5
kids -> clothing,5,5
sports shoes -> offer,5,5
nexus -> 6,5,5
spy -> camera,5,5
mi -> note,5,5
laptop -> bags,5,5
i phone -> 5s,5,5
curtains -> window,5,5
lenovo k4 note mobile -> phone,4,4
infocus -> m370i,4,4
samsung galaxy j3 -> 6,4,4
powerbank -> mi,4,4
