,keyword,addition
samsung galaxy j3 -> galaxy,23,23
mi power bank -> mi,18,18
hp laptop -> hp,15,15
air cooler -> air,12,12
samsung galaxy j7 -> galaxy,10,10
formal shoes -> formal,10,10
smart watches -> smart,10,10
dabur honey -> dabur,10,10
mobile recharge -> mobile,10,10
micromax mobiles -> micromax,10,10
air coolers -> air,9,9
ceiling fan -> ceiling,9,9
micromax canvas spark 3 -> canvas,8,8
intex power bank -> intex,8,8
samsung tab -> samsung,8,8
casual shoes -> casual,8,8
reebok shoes -> reebok,7,7
ceiling fans -> ceiling,7,7
philips trimmer -> philips,6,6
micromax mobile -> micromax,6,6
cotton sarees -> cotton,6,6
ladies watches -> ladies,6,6
ambrane power bank -> ambrane,6,6
dell laptop -> dell,6,6
nike shoes -> nike,6,6
puma shoes -> puma,6,6
exhaust fan -> exhaust,5,5
puma slippers -> puma,5,5
cotton saree -> cotton,5,5
mi powerbank -> mi,5,5
net saree -> net,5,5
nova trimmer -> nova,5,5
hp laptop bag -> hp,5,5
digital watch -> digital,5,5
gaming mouse -> gaming,5,5
running shoes -> running,5,5
led tv -> led,5,5
acer laptop -> acer,5,5
celling fans -> celling,4,4
led monitor -> led,4,4
lenovo mobiles -> lenovo,4,4
titan watches -> titan,4,4
galaxy s7 -> galaxy,4,4
dry iron -> dry,4,4
canvas shoes -> canvas,4,4
adidas football -> adidas,4,4
xolo era 4g back cover -> back,4,4
lotto shoes -> lotto,4,4
earth globe -> earth,4,4
men sandals -> men,4,4
micromax spark 3 -> micromax,4,4
puma running shoes -> running,4,4
samsung galaxy on5 -> galaxy,4,4
samsung galaxy s7 -> galaxy,4,4
voltas window ac -> voltas,4,4
fastrack men watches -> men,4,4
samsung washing machine -> samsung,4,4
galaxy j3 -> galaxy,4,4
pink saree -> pink,4,4
mens watches -> mens,4,4
apple laptop -> apple,4,4
magic mop -> magic,4,4
micromax tab -> micromax,3,3
tata tea -> tata,3,3
men shoes -> men,3,3
micromax mobiles spark 3 -> mobiles,3,3
net sarees -> net,3,3
micromax modem -> micromax,3,3
cordless iron -> cordless,3,3
cooling fan -> cooling,3,3
micromax tv -> micromax,3,3
fastrack mens watches -> mens,3,3
lg monitor -> lg,3,3
dell laptop bags -> dell,3,3
5 5 -> 5,3,3
loafer shoes -> loafer,3,3
titan watch -> titan,3,3
folding study table -> study,3,3
mini sewing machine -> mini,3,3
logitech mouse -> logitech,3,3
sports watch -> sports,3,3
