,keyword,addition
cover -> covers,427,427
bag -> bags,380,380
shoe -> shoes,333,333
watch -> watches,313,313
men -> women,295,295
saree -> sarees,291,291
mobile -> mobiles,253,253
case -> cover,234,234
phone -> phones,228,228
5s -> 6,205,205
man -> men,201,201
shirt -> shirts,199,199
men -> mens,188,188
6 -> 6s,162,162
back -> flip,162,162
nike -> puma,161,161
16gb -> 32gb,146,146
speaker -> speakers,136,136
fan -> fans,134,134
2 -> 3,134,134
5s -> 6s,123,123
j5 -> j7,123,123
book -> books,119,119
girls -> women,116,116
women -> womens,113,113
charger -> cover,112,112
j3 -> j5,111,111
cases -> cover,106,106
16 -> 32,105,105
laptop -> laptops,100,100
dress -> dresses,98,98
black -> blue,96,96
mobile -> phone,94,94
4s -> 5s,91,91
mobiles -> phone,91,91
girls -> kids,91,91
boys -> girls,90,90
case -> cases,90,90
kids -> men,89,89
woman -> women,89,89
kurti -> kurtis,89,89
tab -> tablet,86,86
set -> sets,85,85
batteries -> battery,84,84
j2 -> j3,83,83
3 -> 4,83,83
sandal -> sandals,82,82
tablet -> tablets,82,82
cooler -> coolers,81,81
toy -> toys,80,80
adidas -> nike,77,77
j3 -> j7,76,76
shirts -> shoes,75,75
1 -> 2,73,73
puma -> reebok,73,73
sandals -> shoes,71,71
black -> white,71,71
girls -> men,69,69
samsung -> sony,69,69
3 -> 5,68,68
boys -> men,67,67
headphone -> headphones,67,67
4 -> 5,65,65
t-shirts -> tshirts,65,65
top -> tops,65,65
cap -> caps,64,64
5 -> 6,63,63
bottle -> bottles,62,62
chair -> chairs,61,61
light -> lights,60,60
earphone -> earphones,58,58
boys -> kids,57,57
ladies -> men,57,57
s6 -> s7,57,57
slipper -> slippers,56,56
16gb -> 8gb,56,56
glass -> glasses,56,56
suit -> suits,56,56
mens -> women,55,55
helmet -> helmets,55,55
backpack -> bag,55,55
nokia -> samsung,55,55
cover -> mobile,54,54
battery -> charger,52,52
backpack -> backpacks,52,52
sport -> sports,51,51
girl -> girls,49,49
pink -> red,49,49
girls -> ladies,48,48
t-shirt -> tshirt,48,48
box -> boxes,47,47
monitor -> monitors,47,47
cycle -> cycles,46,46
offer -> offers,46,46
pant -> pants,46,46
mobil -> mobile,46,46
battery -> cover,45,45
material -> materials,45,45
kit -> kits,44,44
card -> cards,44,44
j2 -> j5,44,44
bat -> bats,44,44
32 -> 64,44,44
ladies -> women,44,44
belt -> belts,43,43
16 -> 8,43,43
phone -> price,42,42
curtain -> curtains,42,42
2 -> 5,42,42
32gb -> 64gb,41,41
shoes -> sneakers,41,41
car -> cars,40,40
boot -> boots,40,40
bank -> banks,40,40
pad -> pads,39,39
backpacks -> bag,39,39
ps3 -> ps4,39,39
5 -> 5s,39,39
wallet -> wallets,38,38
conditioner -> conditioners,38,38
a5 -> a7,38,38
kid -> kids,38,38
cases -> charger,38,38
sticker -> stickers,37,37
trimmer -> trimmers,37,37
adidas -> puma,37,37
machine -> machines,37,37
boy -> boys,37,37
ring -> rings,37,37
bulb -> bulbs,36,36
16gb -> 64gb,36,36
sunglass -> sunglasses,36,36
split -> window,36,36
dell -> hp,36,36
2 -> 4,36,36
kids -> ladies,36,36
printer -> printers,35,35
shoes -> slippers,35,35
ball -> bat,35,35
bike -> bikes,34,34
shirt -> shoes,34,34
case -> covers,34,34
lcd -> led,34,34
mobiles -> phones,34,34
cover -> panel,34,34
television -> tv,34,34
kurta -> kurti,33,33
keyboard -> mouse,33,33
headphones -> headset,33,33
sneaker -> sneakers,33,33
nike -> reebok,33,33
blue -> green,32,32
cases -> covers,32,32
tshirt -> tshirts,32,32
battery -> black,32,32
and -> &,32,32
shoes -> shorts,32,32
k3 -> k4,32,32
3g -> 4g,31,31
camera -> cameras,31,31
